commune,quartier,aliases,source,verified
Abobo,Abobo Centre,,ovanie_seed,0
Abobo,Abobo Gare,,ovanie_seed,0
Abobo,Abobo Baoulé,,ovanie_seed,0
Abobo,Abobo Té,,ovanie_seed,0
Abobo,Abobo Clouetcha,,ovanie_seed,0
Abobo,Abobo Belleville,,ovanie_seed,0
Abobo,Abobo Habitat,,ovanie_seed,0
Abobo,Abobo Kennedy,,ovanie_seed,0
Abobo,Abobo Banco,,ovanie_seed,0
Abobo,Abobo Plaque 1,,ovanie_seed,0
Abobo,Abobo Plaque 2,,ovanie_seed,0
Abobo,Abobo Sagbé,,ovanie_seed,0
Abobo,Avocatier,,ovanie_seed,0
Abobo,PK 18,PK18|PK-18,ovanie_seed,0
Abobo,N'Dotré,Ndotré|N Dotre|N'Dotre,ovanie_seed,0
Abobo,Anonkoa Kouté,Anonkoa Koute|Anonkoua Kouté|Anonkoua Koute,ovanie_seed,0
Abobo,Samaké,,ovanie_seed,0
Abobo,Agnissankoi,,ovanie_seed,0
Abobo,Akeikoi,,ovanie_seed,0
Abobo,Biabou,,ovanie_seed,0
Abobo,Akéikoi Extension,,ovanie_seed,0
Abobo,Dokui Extension,,ovanie_seed,0
Abobo,Derrière Rails,,ovanie_seed,0
Abobo,Sogefiha,,ovanie_seed,0
Abobo,Sicogi,,ovanie_seed,0
Abobo,Houphouët-Boigny,,ovanie_seed,0
Abobo,Abobo Nord,,ovanie_seed,0
Abobo,Abobo Sud,,ovanie_seed,0
Abobo,Abobo Est,,ovanie_seed,0
Abobo,Abobo Ouest,,ovanie_seed,0
Abobo,Cité de la Paix,,ovanie_seed,0
Abobo,Cité policière,,ovanie_seed,0
Abobo,Camp Commando,,ovanie_seed,0
Adjamé,Mairie I,,ovanie_seed,0
Adjamé,Mairie II,,ovanie_seed,0
Adjamé,Bromakoté,,ovanie_seed,0
Adjamé,Adjamé Nord,,ovanie_seed,0
Adjamé,220 Logements,220 logements|Deux cent vingt logements,ovanie_seed,0
Adjamé,Habitat Extension,,ovanie_seed,0
Adjamé,Paillet,,ovanie_seed,0
Adjamé,Marie-Thérèse,,ovanie_seed,0
Adjamé,Saint-Michel,,ovanie_seed,0
Adjamé,Village Ébrié,,ovanie_seed,0
Adjamé,Dallas,,ovanie_seed,0
Adjamé,Indénié,,ovanie_seed,0
Adjamé,Williamsville I,,ovanie_seed,0
Adjamé,Williamsville II,,ovanie_seed,0
Adjamé,Williamsville III,,ovanie_seed,0
Adjamé,SODECI-FILTISAC,,ovanie_seed,0
Adjamé,Mirador,,ovanie_seed,0
Adjamé,Adjamé Nord-Est,,ovanie_seed,0
Adjamé,Quartier Ébrié,,ovanie_seed,0
Adjamé,Liberté,,ovanie_seed,0
Adjamé,Agban Gendarmerie,,ovanie_seed,0
Adjamé,Bracodi,,ovanie_seed,0
Adjamé,Fraternité-Matin,,ovanie_seed,0
Adjamé,Forum des Marchés,,ovanie_seed,0
Anyama,Anyama Centre,,ovanie_seed,0
Anyama,Anyama Gare,,ovanie_seed,0
Anyama,Anyama Résidentiel,,ovanie_seed,0
Anyama,Anyama Adjamé,,ovanie_seed,0
Anyama,Anyama Ahouabo,,ovanie_seed,0
Anyama,Ebimpé,,ovanie_seed,0
Anyama,Attingué,,ovanie_seed,0
Anyama,Akoupé-Zeudji,Akoupe Zeudji,ovanie_seed,0
Anyama,Allokoi,,ovanie_seed,0
Anyama,Adonkoi,,ovanie_seed,0
Anyama,Thomasset,,ovanie_seed,0
Anyama,Broutoi,,ovanie_seed,0
Anyama,Belleville Anyama,,ovanie_seed,0
Anyama,Schneider,,ovanie_seed,0
Anyama,RAN,,ovanie_seed,0
Anyama,CEG,,ovanie_seed,0
Anyama,Zossonkoi,,ovanie_seed,0
Anyama,Azaguié-Blida,,ovanie_seed,0
Anyama,Ahoué,,ovanie_seed,0
Anyama,Akéikoi Anyama,,ovanie_seed,0
Attécoubé,Attécoubé Centre,Attecoube Centre,ovanie_seed,0
Attécoubé,Attécoubé 3,,ovanie_seed,0
Attécoubé,Abobodoumé,Abobodoume,ovanie_seed,0
Attécoubé,Agban Village,,ovanie_seed,0
Attécoubé,Boribana,,ovanie_seed,0
Attécoubé,Locodjro,,ovanie_seed,0
Attécoubé,Mossikro,,ovanie_seed,0
Attécoubé,Santé 3,,ovanie_seed,0
Attécoubé,Sebroko,,ovanie_seed,0
Attécoubé,Banco Attécoubé,,ovanie_seed,0
Attécoubé,Jean-Paul II,,ovanie_seed,0
Attécoubé,Lackman,,ovanie_seed,0
Attécoubé,Djéné Ecarrefour,,ovanie_seed,0
Attécoubé,Abidjan Santé,,ovanie_seed,0
Attécoubé,Résidentiel Attécoubé,,ovanie_seed,0
Attécoubé,Camp Douane,,ovanie_seed,0
Attécoubé,Gbêkê,,ovanie_seed,0
Attécoubé,Espoir,,ovanie_seed,0
Attécoubé,Fromager,,ovanie_seed,0
Bingerville,Bingerville Centre,,ovanie_seed,0
Bingerville,Bingerville Gare,,ovanie_seed,0
Bingerville,Bingerville Résidentiel,,ovanie_seed,0
Bingerville,SICOGI Bingerville,,ovanie_seed,0
Bingerville,Adjamé-Bingerville,,ovanie_seed,0
Bingerville,Akandjé,Akandje,ovanie_seed,0
Bingerville,Feh Kessé,Feh Kesse,ovanie_seed,0
Bingerville,Elokaté,,ovanie_seed,0
Bingerville,Elokato,,ovanie_seed,0
Bingerville,Anan,,ovanie_seed,0
Bingerville,Akoué-Santé,Akoue Sante,ovanie_seed,0
Bingerville,Brégbo,,ovanie_seed,0
Bingerville,Achokoi,,ovanie_seed,0
Bingerville,Abatta,,ovanie_seed,0
Bingerville,M'Badon Extension,,ovanie_seed,0
Bingerville,Santé Bingerville,,ovanie_seed,0
Bingerville,Palmeraie Bingerville,,ovanie_seed,0
Bingerville,Cité Marina,,ovanie_seed,0
Bingerville,Cité Feh Kessé,,ovanie_seed,0
Bingerville,Carrefour M'Batto-Bouaké,,ovanie_seed,0
Bingerville,Koffikro,,ovanie_seed,0
Bingerville,Ana,,ovanie_seed,0
Bingerville,Akouai-Agban,,ovanie_seed,0
Cocody,Cocody Centre,,ovanie_seed,0
Cocody,Cocody Danga,,ovanie_seed,0
Cocody,Cocody Ambassades,,ovanie_seed,0
Cocody,Cocody Saint-Jean,,ovanie_seed,0
Cocody,Cocody Lycée Technique,,ovanie_seed,0
Cocody,Cocody Mermoz,,ovanie_seed,0
Cocody,Cocody Cité des Arts,,ovanie_seed,0
Cocody,Cocody Cité SIR,,ovanie_seed,0
Cocody,Cocody Blockhauss,,ovanie_seed,0
Cocody,Cocody Golf,,ovanie_seed,0
Cocody,Deux-Plateaux,Deux Plateaux|2 Plateaux|Les Deux Plateaux,ovanie_seed,0
Cocody,Deux-Plateaux Vallon,,ovanie_seed,0
Cocody,Deux-Plateaux Aghien,,ovanie_seed,0
Cocody,Deux-Plateaux Dokui,,ovanie_seed,0
Cocody,Deux-Plateaux ENA,,ovanie_seed,0
Cocody,Deux-Plateaux Les Perles,,ovanie_seed,0
Cocody,Deux-Plateaux Mobile,,ovanie_seed,0
Cocody,Deux-Plateaux 7e Tranche,,ovanie_seed,0
Cocody,Angré,Angre,ovanie_seed,0
Cocody,Angré 7e Tranche,,ovanie_seed,0
