commune,quartier,sous_quartier,cite,village,carrefour,alias_google_maps,type_source,remarque,source
Abobo,,,,Abobo-Té,,Abobo Té,Village fondateur,L'un des 3 villages Ébrié fondateurs de la localité,abidjan_localites_base_donnees.xlsx
Abobo,,,,Abobo-Baoulé,,,Village fondateur,"Village fondateur, créé en 1892",abidjan_localites_base_donnees.xlsx
Abobo,,,,Anonkoua-Kouté,,Anonkoua Kouté,Village,"Village Ébrié ancien (~100 ans), pêche",abidjan_localites_base_donnees.xlsx
Abobo,,,,Djibi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Abobo,,,,Agnissankoi,,,Village,Sous-quartier/village fondé par Agnissan Séka (Akoupé) en 1910,abidjan_localites_base_donnees.xlsx
Abobo,Abobo-Sagbé,,,,,Abobo Derrière Rails,Quartier,"Quartier précaire, sud-ouest d'Abobo",abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Centre,,,,,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Anté,,,,,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Bocabo,,,,,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Palmeraie,,,,,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Ouran,,,,,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Céleste,,,,Sagbe celeste,Sous-quartier,Sous-quartier de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Nord,,,,,Sous-quartier,Extension nord de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,,Sagbé Sud,,,,,Sous-quartier,Extension sud de Sagbé,abidjan_localites_base_donnees.xlsx
Abobo,Avocatier,,,,,Abobo-Avocatier,Quartier,Nord de la commune,abidjan_localites_base_donnees.xlsx
Abobo,PK18,,,,,PK 18,Quartier,Quartier populaire,abidjan_localites_base_donnees.xlsx
Abobo,N'Dotré,,,,,Ndotré,Quartier,Quartier,abidjan_localites_base_donnees.xlsx
Abobo,,Blankro,,,,,Sous-quartier,"Sous-quartier de N'Dotré, fondé par Elie Jean Blanc (années 1980)",abidjan_localites_base_donnees.xlsx
Abobo,Kennedy,,,,,Kennedy Clouetcha,Quartier,Créé vers 1979,abidjan_localites_base_donnees.xlsx
Abobo,Colatier,,,,,,Quartier,Ancienne plantation de cola,abidjan_localites_base_donnees.xlsx
Abobo,Akéikoi (extension Abobo),,,,,Akeikoi,Quartier,Village à cheval Abobo/Anyama,abidjan_localites_base_donnees.xlsx
Abobo,Agbékoi,,,,,Agbekoi,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Anonkoua-Kouté (extension Est/Ouest),,,,,,Quartier,Extension du village,abidjan_localites_base_donnees.xlsx
Abobo,112 Hectares,,,,,,Quartier,Extension planifiée,abidjan_localites_base_donnees.xlsx
Abobo,Banco (Abobo),,,,,,Quartier,Extension,abidjan_localites_base_donnees.xlsx
Abobo,Abobo Nord,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Abobo Sud,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Abobo RTI,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Belleville (Abobo),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,,,Cité Ado,,,,Cité,,abidjan_localites_base_donnees.xlsx
Abobo,,,Cité de la Grâce,,,,Cité,,abidjan_localites_base_donnees.xlsx
Abobo,Cobakro,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,L'Habitat,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Moni,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Palmafrique,,,,,Palmafrique V2,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Sapa,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Sofaica,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Tamini,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Yapi,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Biabou,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Broukoua,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Étoile,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Aman,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Anador,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Atsin,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Aboua,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Abobo,Kouadjo Kouakou,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,,,,Bidjan Adjamé,,Adjamèmin,Village fondateur,"Village Bidjan fondateur, nom signifie « la rencontre / le centre » en tchaman",abidjan_localites_base_donnees.xlsx
Adjamé,220 Logements,,,,,220 Lgts,Quartier,Quartier commerçant et résidentiel,abidjan_localites_base_donnees.xlsx
Adjamé,Williamsville,,,,,,Quartier,Quartier au nord d'Adjamé,abidjan_localites_base_donnees.xlsx
Adjamé,Bracodi,,,,,Bracodi Est / Bracodi Ouest,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Bromakoté,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Habitat,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Humici,,,,,Humicité,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Latin (Quartier Latin),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Liberté,,,,,Adjamé Liberté,Quartier,Autour du cinéma Liberté,abidjan_localites_base_donnees.xlsx
Adjamé,Macaci,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Pailler,,,,,Paillet,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Quartier Manguier,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Saint Michel,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Mirador,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,Marie-Thérèse Houphouët-Boigny,,,,,,Quartier,Quartier autour de la maternité,abidjan_localites_base_donnees.xlsx
Adjamé,Agban (partie Adjamé),,,,,Abidjan-Agban,Quartier,Frontière avec Attécoubé,abidjan_localites_base_donnees.xlsx
Adjamé,Gare Nord (SOTRA),,,,,,Quartier,Zone de gares routières,abidjan_localites_base_donnees.xlsx
Adjamé,Forum des Marchés,,,,,Mairie 1,Quartier,Le plus important des ~9-20 marchés d'Adjamé,abidjan_localites_base_donnees.xlsx
Adjamé,Marché Gouro,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Adjamé,INSP (quartier),,,,,,Quartier,"Institut National de la Statistique et de la Promotion, secteur",abidjan_localites_base_donnees.xlsx
Adjamé,Abobo-Adjamé,,,,,,Quartier,Zone frontalière,abidjan_localites_base_donnees.xlsx
Attécoubé,,,,Bidjanté,,Attécoubé (le village),Village fondateur,Village Bidjan fondateur ; « le village d'en bas »,abidjan_localites_base_donnees.xlsx
Attécoubé,,,,Agban Village,,Abidjan Agban,Village,"Village Bidjan, zone de guerre historique du Goto",abidjan_localites_base_donnees.xlsx
Attécoubé,,,,Santé Village,,Abidjan Santé|Bidjan Santé,Village,Village Bidjan,abidjan_localites_base_donnees.xlsx
Attécoubé,,,,Locodjro,,,Village,"Village, port de pêche artisanale",abidjan_localites_base_donnees.xlsx
