entity;field;model_file
User;created_by_commercial_id;web/app/Models/User.php
User;first_name;web/app/Models/User.php
User;last_name;web/app/Models/User.php
User;name;web/app/Models/User.php
User;email;web/app/Models/User.php
User;phone;web/app/Models/User.php
User;password;web/app/Models/User.php
User;whatsapp_phone;web/app/Models/User.php
User;whatsapp_verified_at;web/app/Models/User.php
User;role;web/app/Models/User.php
User;status;web/app/Models/User.php
User;is_admin;web/app/Models/User.php
User;avatar;web/app/Models/User.php
User;secondary_phone;web/app/Models/User.php
User;birth_date;web/app/Models/User.php
User;gender;web/app/Models/User.php
User;city;web/app/Models/User.php
User;account_type;web/app/Models/User.php
User;loyalty_points;web/app/Models/User.php
User;loyalty_debt;web/app/Models/User.php
User;preferred_cities;web/app/Models/User.php
User;favorite_categories;web/app/Models/User.php
User;notification_preferences;web/app/Models/User.php
User;locale;web/app/Models/User.php
User;currency;web/app/Models/User.php
User;timezone;web/app/Models/User.php
User;date_format;web/app/Models/User.php
User;referral_code;web/app/Models/User.php
User;deletion_in_progress;web/app/Models/User.php
Shop;user_id;web/app/Models/Shop.php
Shop;created_by_commercial_id;web/app/Models/Shop.php
Shop;managed_by_commercial_id;web/app/Models/Shop.php
Shop;name;web/app/Models/Shop.php
Shop;display_name;web/app/Models/Shop.php
Shop;slug;web/app/Models/Shop.php
Shop;description;web/app/Models/Shop.php
Shop;logo;web/app/Models/Shop.php
Shop;selfie;web/app/Models/Shop.php
Shop;seller_type;web/app/Models/Shop.php
Shop;company_name;web/app/Models/Shop.php
Shop;legal_form;web/app/Models/Shop.php
Shop;rccm;web/app/Models/Shop.php
Shop;taxpayer_number;web/app/Models/Shop.php
Shop;main_category;web/app/Models/Shop.php
Shop;main_subcategory;web/app/Models/Shop.php
Shop;commercial_notes;web/app/Models/Shop.php
Shop;delivery_zone;web/app/Models/Shop.php
Shop;processing_time;web/app/Models/Shop.php
Shop;city;web/app/Models/Shop.php
Shop;region;web/app/Models/Shop.php
Shop;commune;web/app/Models/Shop.php
Shop;commune_id;web/app/Models/Shop.php
Shop;district;web/app/Models/Shop.php
Shop;quarter_id;web/app/Models/Shop.php
Shop;landmark;web/app/Models/Shop.php
Shop;landmark_id;web/app/Models/Shop.php
Shop;address;web/app/Models/Shop.php
Shop;whatsapp;web/app/Models/Shop.php
Shop;business_email;web/app/Models/Shop.php
Shop;latitude;web/app/Models/Shop.php
Shop;longitude;web/app/Models/Shop.php
Shop;geo_accuracy;web/app/Models/Shop.php
Shop;geo_source;web/app/Models/Shop.php
Shop;geo_precision;web/app/Models/Shop.php
Shop;geo_precision_score;web/app/Models/Shop.php
Shop;geo_status;web/app/Models/Shop.php
Shop;geo_verified_at;web/app/Models/Shop.php
Shop;identity_country;web/app/Models/Shop.php
Shop;identity_type;web/app/Models/Shop.php
Shop;identity_number;web/app/Models/Shop.php
Shop;identity_upload_mode;web/app/Models/Shop.php
Shop;identity_file;web/app/Models/Shop.php
Shop;identity_file_front;web/app/Models/Shop.php
Shop;identity_file_back;web/app/Models/Shop.php
Shop;rccm_file;web/app/Models/Shop.php
Shop;tax_file;web/app/Models/Shop.php
Shop;mm_operator;web/app/Models/Shop.php
Shop;mm_number;web/app/Models/Shop.php
Shop;mm_holder;web/app/Models/Shop.php
Shop;direct_payment;web/app/Models/Shop.php
Shop;logistics_type;web/app/Models/Shop.php
Shop;payment_mode;web/app/Models/Shop.php
Shop;payout_onboarding_started_at;web/app/Models/Shop.php
Shop;status;web/app/Models/Shop.php
Shop;kyc_status;web/app/Models/Shop.php
Shop;logistics_status;web/app/Models/Shop.php
Shop;is_active;web/app/Models/Shop.php
Shop;rejection_reason;web/app/Models/Shop.php
Shop;approved_at;web/app/Models/Shop.php
Shop;reviewed_by;web/app/Models/Shop.php
Product;shop_id;web/app/Models/Product.php
Product;created_by_commercial_id;web/app/Models/Product.php
Product;vendor_id;web/app/Models/Product.php
Product;category_id;web/app/Models/Product.php
Product;sku;web/app/Models/Product.php
Product;master_product_id;web/app/Models/Product.php
Product;fulfillment_priority;web/app/Models/Product.php
Product;is_fulfillment_enabled;web/app/Models/Product.php
Product;product_state;web/app/Models/Product.php
Product;name;web/app/Models/Product.php
Product;slug;web/app/Models/Product.php
Product;description;web/app/Models/Product.php
Product;short_description;web/app/Models/Product.php
Product;technical_details;web/app/Models/Product.php
Product;product_attributes;web/app/Models/Product.php
Product;technical_sheet_path;web/app/Models/Product.php
Product;product_video_path;web/app/Models/Product.php
Product;product_video_url;web/app/Models/Product.php
Product;usage_area;web/app/Models/Product.php
Product;material_grade;web/app/Models/Product.php
Product;color;web/app/Models/Product.php
Product;standard;web/app/Models/Product.php
Product;warranty;web/app/Models/Product.php
Product;return_policy;web/app/Models/Product.php
Product;price;web/app/Models/Product.php
Product;weight;web/app/Models/Product.php
Product;weight_kg;web/app/Models/Product.php
Product;length_cm;web/app/Models/Product.php
Product;width_cm;web/app/Models/Product.php
Product;height_cm;web/app/Models/Product.php
Product;volume_m3;web/app/Models/Product.php
Product;transport;web/app/Models/Product.php
Product;promo_price;web/app/Models/Product.php
Product;promo_end;web/app/Models/Product.php
Product;stock;web/app/Models/Product.php
Product;availability_status;web/app/Models/Product.php
Product;fast_delivery;web/app/Models/Product.php
Product;status;web/app/Models/Product.php
Product;is_active;web/app/Models/Product.php
Product;commission_paid;web/app/Models/Product.php
Product;lock_contacts;web/app/Models/Product.php
Product;gallery;web/app/Models/Product.php
Product;type;web/app/Models/Product.php
Product;sale_type;web/app/Models/Product.php
Product;unit;web/app/Models/Product.php
Product;unit_label;web/app/Models/Product.php
Product;min_order_quantity;web/app/Models/Product.php
Product;packaging;web/app/Models/Product.php
Product;content_per_unit;web/app/Models/Product.php
Product;content_unit;web/app/Models/Product.php
Product;units_per_package;web/app/Models/Product.php
Product;coverage_per_unit_m2;web/app/Models/Product.php
Product;supply_delay;web/app/Models/Product.php
Product;brand;web/app/Models/Product.php
Product;origin_country;web/app/Models/Product.php
Product;delivery_mode;web/app/Models/Product.php
Product;seller_delivery_delay;web/app/Models/Product.php
Product;fragile;web/app/Models/Product.php
Product;requires_unloading;web/app/Models/Product.php
Product;unloading_instructions;web/app/Models/Product.php
Product;handling_options;web/app/Models/Product.php
Product;pickup_city;web/app/Models/Product.php
Product;pickup_commune;web/app/Models/Product.php
Product;pickup_address;web/app/Models/Product.php
Product;price_p1;web/app/Models/Product.php
Product;price_p2;web/app/Models/Product.php
Product;price_p3;web/app/Models/Product.php
Product;is_negotiable;web/app/Models/Product.php
Product;flash_start_at;web/app/Models/Product.php
Product;flash_end;web/app/Models/Product.php
Product;bf_start;web/app/Models/Product.php
Product;bf_end;web/app/Models/Product.php
Product;is_boosted;web/app/Models/Product.php
Product;boosted_by_ovanie;web/app/Models/Product.php
Product;boost_type;web/app/Models/Product.php
Product;boost_start_at;web/app/Models/Product.php
Product;boost_end_at;web/app/Models/Product.php
Product;boost_price;web/app/Models/Product.php
Product;boost_payment_status;web/app/Models/Product.php
Product;boost_payment_reference;web/app/Models/Product.php
Product;boost_paid_at;web/app/Models/Product.php
Product;boost_package;web/app/Models/Product.php
Product;boost_duration_days;web/app/Models/Product.php
Product;boost_priority;web/app/Models/Product.php
Product;boost_views;web/app/Models/Product.php
Product;boost_clicks;web/app/Models/Product.php
Product;free_boosted_by_ovanie;web/app/Models/Product.php
Product;free_boost_start_at;web/app/Models/Product.php
Product;free_boost_end_at;web/app/Models/Product.php
Product;free_boost_batch_date;web/app/Models/Product.php
Product;views;web/app/Models/Product.php
Product;sales;web/app/Models/Product.php
Product;archived_at;web/app/Models/Product.php
Product;archived_by;web/app/Models/Product.php
Product;archive_reason;web/app/Models/Product.php
Order;order_number;web/app/Models/Order.php
Order;client_id;web/app/Models/Order.php
Order;gift_card_id;web/app/Models/Order.php
Order;customer_name;web/app/Models/Order.php
Order;vendor_id;web/app/Models/Order.php
Order;shop_id;web/app/Models/Order.php
Order;product_id;web/app/Models/Order.php
Order;quantity;web/app/Models/Order.php
Order;invoice_number;web/app/Models/Order.php
Order;status;web/app/Models/Order.php
Order;commission_amount;web/app/Models/Order.php
Order;payment_method;web/app/Models/Order.php
Order;payment_status;web/app/Models/Order.php
Order;subtotal;web/app/Models/Order.php
Order;delivery_fee;web/app/Models/Order.php
Order;delivery_fee_total;web/app/Models/Order.php
Order;ovanie_delivery_fee;web/app/Models/Order.php
Order;seller_delivery_fee;web/app/Models/Order.php
Order;partner_delivery_fee;web/app/Models/Order.php
Order;delivery_pricing_status;web/app/Models/Order.php
Order;delivery_pricing_meta;web/app/Models/Order.php
Order;delivery_breakdown;web/app/Models/Order.php
Order;selected_carriers;web/app/Models/Order.php
Order;total_amount;web/app/Models/Order.php
Order;bank_reference;web/app/Models/Order.php
Order;receipt_path;web/app/Models/Order.php
Order;payment_proof;web/app/Models/Order.php
Order;carrier;web/app/Models/Order.php
Order;tracking_number;web/app/Models/Order.php
Order;shipment_date;web/app/Models/Order.php
Order;notes;web/app/Models/Order.php
Order;discount;web/app/Models/Order.php
Order;loyalty_points_used;web/app/Models/Order.php
Order;loyalty_discount;web/app/Models/Order.php
Order;gift_card_amount;web/app/Models/Order.php
Order;phone;web/app/Models/Order.php
Order;address;web/app/Models/Order.php
Order;delivery_address;web/app/Models/Order.php
Order;delivery_zone;web/app/Models/Order.php
Order;delivery_destination_type;web/app/Models/Order.php
Order;delivery_site_name;web/app/Models/Order.php
Order;delivery_recipient_name;web/app/Models/Order.php
Order;delivery_recipient_phone;web/app/Models/Order.php
Order;delivery_commune;web/app/Models/Order.php
Order;delivery_quartier;web/app/Models/Order.php
Order;delivery_city;web/app/Models/Order.php
Order;delivery_lat;web/app/Models/Order.php
Order;delivery_lng;web/app/Models/Order.php
Order;delivery_latitude;web/app/Models/Order.php
Order;delivery_longitude;web/app/Models/Order.php
