entity,field,type,enum,storage,target_storage,required,required_on_publish,required_if
product,id,integer,,products.id,,yes,no,
product,shop_id,integer,,products.shop_id,,yes,no,
product,category_id,integer,,products.category_id,,no,yes,
product,name,string,,products.name,,no,yes,
product,brand,string|null,,products.brand,,no,no,
product,type,enum|null,product_type,products.type,,no,no,
product,product_state,enum,product_state,products.product_state,,no,yes,
product,short_description,string|null,,products.short_description,,no,no,
product,description,string,,products.description,,no,yes,
product,price,integer,,products.price,,no,yes,
product,promo_price,integer|null,,products.promo_price,,no,no,
product,stock,integer,,products.stock,,no,yes,
product,unit,enum,product_unit,products.unit,,no,yes,
product,unit_label,string|null,,products.unit_label,,no,no,
product,min_order_quantity,integer,,products.min_order_quantity,,no,yes,
product,packaging,string|null,,products.packaging,,no,no,
product,commercial_sale_type,enum,commercial_sale_type,,products.commercial_sale_type,no,yes,
product,selling_mode,enum,selling_mode,,products.selling_mode,no,yes,
product,availability_status,enum,product_availability_status,products.availability_status,,no,no,
product,publication_status,enum,product_publication_status,,products.status,no,no,
product,weight_kg,number,,products.weight_kg,,no,yes,
product,length_cm,number,,products.length_cm,,no,yes,
product,width_cm,number,,products.width_cm,,no,yes,
product,height_cm,number,,products.height_cm,,no,yes,
product,volume_m3,number|null,,products.volume_m3,,no,no,
product,fragile,boolean,,products.fragile,,no,yes,
product,requires_unloading,boolean,,products.requires_unloading,,no,yes,
product,unloading_instructions,string|null,,products.unloading_instructions,,no,no,
shop,seller_type,enum,seller_type,shops.seller_type,,yes,no,
shop,company_name,string|null,,shops.company_name,,no,no,seller_type=entreprise
shop,legal_form,enum|null,legal_form,shops.legal_form,,no,no,seller_type=entreprise
shop,rccm,string|null,,shops.rccm,,no,no,seller_type=entreprise
shop,taxpayer_number,string|null,,shops.taxpayer_number,,no,no,seller_type=entreprise
shop,rccm_file,file|null,,shops.rccm_file,,no,no,seller_type=entreprise
shop,tax_file,file|null,,shops.tax_file,,no,no,seller_type=entreprise
shop,name,string,,shops.name,,yes,no,
shop,description,string,,shops.description,,yes,no,
shop,logo,file|null,,shops.logo,,no,no,
shop,selfie,file,,shops.selfie,,yes,no,
shop,region,string,,shops.region,,yes,no,
shop,city,string,,shops.city,,yes,no,
shop,commune,string,,shops.commune,,yes,no,
shop,commune_id,integer|null,,shops.commune_id,,no,no,
shop,district,string,,shops.district,,yes,no,
shop,quarter_id,integer|null,,shops.quarter_id,,no,no,
shop,landmark,string,,shops.landmark,,yes,no,
shop,address,string,,shops.address,,yes,no,
shop,latitude,number|null,,shops.latitude,,no,no,logistics_type=ovanie
shop,longitude,number|null,,shops.longitude,,no,no,logistics_type=ovanie
shop,main_category,category_slug,,shops.main_category,,yes,no,
shop,delivery_zone,enum,shop_delivery_zone,shops.delivery_zone,,yes,no,
shop,logistics_type,enum,shop_logistics_type,shops.logistics_type,,yes,no,
shop,processing_time,string|null,,shops.processing_time,,no,no,
shop,whatsapp,string|null,,shops.whatsapp,,no,no,
shop,business_email,email|null,,shops.business_email,,no,no,
shop,identity_country,string,,shops.identity_country,,yes,no,
shop,identity_type,enum,identity_type,shops.identity_type,,yes,no,
shop,identity_number,string,,shops.identity_number,,yes,no,
shop,payment_mode,enum,vendor_payment_mode,shops.payment_mode,,yes,no,
shop,mm_operator,enum,mobile_money_operator,shops.mm_operator,,yes,no,
shop,mm_number,string,,shops.mm_number,,yes,no,
shop,mm_holder,string,,shops.mm_holder,,yes,no,
client,first_name,string|null,,users.first_name,,no,no,
client,last_name,string|null,,users.last_name,,no,no,
client,name,derived_string,,users.name,,no,no,
client,email,email,,users.email,,yes,no,
client,phone,string|null,,users.phone,,no,no,
client,secondary_phone,string|null,,users.secondary_phone,,no,no,
client,whatsapp_phone,string|null,,users.whatsapp_phone,,no,no,
client,birth_date,date|null,,users.birth_date,,no,no,
client,gender,enum|null,client_gender,users.gender,,no,no,
client,city,string|null,,users.city,,no,no,
client,account_type,enum,client_account_type,users.account_type,,no,no,
client,avatar,file|null,,users.avatar,,no,no,
client,locale,enum,,users.locale,,no,no,
client,currency,enum,,users.currency,,no,no,
client,timezone,timezone|null,,users.timezone,,no,no,
client,date_format,enum|null,,users.date_format,,no,no,
address,type,enum,address_type,addresses.type,,yes,no,
address,label,string,,addresses.label,,yes,no,
address,recipient_name,string|null,,addresses.recipient_name,,no,no,
address,city,string,,addresses.city,,yes,no,
address,commune,string,,addresses.commune,,yes,no,
address,quartier,string|null,,addresses.quartier,,no,no,
address,country,string|null,,addresses.country,,no,no,
address,address,string,,addresses.address,,yes,no,
address,phone,string,,addresses.phone,,yes,no,
address,latitude,number|null,,addresses.latitude,,no,no,
address,longitude,number|null,,addresses.longitude,,no,no,
address,is_default,boolean,,addresses.is_default,,no,no,
address,quartier_principal,derived_string,,,,no,no,
address,sous_quartier,derived_string,,,,no,no,
driver,first_name,string,,delivery_drivers.first_name,,yes,no,
driver,last_name,string,,delivery_drivers.last_name,,yes,no,
driver,phone,string,,delivery_drivers.phone,,yes,no,
driver,email,email|null,,delivery_drivers.email,,no,no,
driver,avatar,file|null,,delivery_drivers.avatar,,no,no,
driver,onboarding_status,enum,driver_onboarding_status,delivery_drivers.onboarding_status,,no,no,
driver,availability_status,enum,driver_availability_status,,delivery_drivers.status,no,no,
driver,is_online,derived_boolean,,,,no,no,
driver,birth_date,date|null,,birth_date,,no,no,
driver,identity_type,enum|null,identity_type,identity_type,,no,no,
driver,identity_number,string|null,,identity_number,,no,no,
driver,identity_document,file|null,,"documents.Pièce d’identité.path",,no,no,
driver,vehicle_type,enum,vehicle_type,delivery_drivers.vehicle,,yes,no,
driver,plate,string,,plate,,yes,no,
driver,vehicle_color,string|null,,vehicle_color,,no,no,
driver,vehicle_color_hex,hex_color|null,,vehicle_color_hex,,no,no,
driver,vehicle_year,integer|null,,vehicle_year,,no,no,
driver,capacity_kg,number|null,,,capacity_kg,no,no,
driver,vehicle_registration_document,file|null,,"documents.Carte grise.path",,no,no,
driver,vehicle_photo,file|null,,vehicle_photo,,no,no,
driver,plate_photo,file|null,,plate_photo,,no,no,
driver,supporting_documents,file_array,,supporting_documents,,no,no,
driver,availability_days,enum_array,week_day,availability_days,,yes,no,
driver,zone_ids,integer_array,,zone_ids,,yes,no,
driver,work_hours,string|null,,work_hours,,no,no,
