enum,code,label
product_state,new,Neuf
product_state,reconditioned,Reconditionné
product_state,used,Occasion
commercial_sale_type,normal,"Vente normale"
commercial_sale_type,flash_sale,"Vente flash"
commercial_sale_type,black_friday,"Black Friday"
commercial_sale_type,promotion,"Promo spéciale"
selling_mode,unit,"Vente à l’unité"
selling_mode,lot,"Vente par lot"
selling_mode,weight,"Vente au poids"
selling_mode,linear_meter,"Vente au mètre"
selling_mode,surface,"Vente au m²"
selling_mode,volume,"Vente au m³"
product_unit,sac,Sac
product_unit,tonne,Tonne
product_unit,m3,m³
product_unit,m2,m²
product_unit,ml,"Mètre linéaire"
product_unit,piece,Pièce
product_unit,palette,Palette
product_unit,rouleau,Rouleau
product_unit,seau,Seau
product_unit,carton,Carton
product_unit,paquet,Paquet
product_unit,barre,Barre
product_unit,bidon,Bidon
product_unit,kg,Kilogramme
product_unit,litre,Litre
product_type,materiau,"Matériau de construction"
product_type,outillage,Outillage
product_type,equipement,Équipement
product_type,consommable,Consommable
product_type,autre,"Autre produit BTP"
product_availability_status,in_stock,"En stock immédiat"
product_availability_status,on_order,"Disponible sous commande"
product_availability_status,preorder,Précommande
product_availability_status,out_of_stock,"Rupture temporaire"
product_publication_status,draft,Brouillon
product_publication_status,pending_logistics,"Logistique à compléter"
product_publication_status,active,"En ligne"
product_publication_status,inactive,"Hors ligne"
product_publication_status,archived,Archivé
seller_type,particulier,Particulier
seller_type,entreprise,Entreprise
seller_type,artisan,Artisan
seller_type,grossiste,Grossiste
legal_form,sarl,SARL
legal_form,sarlu,SARLU
legal_form,sa,SA
legal_form,sas,SAS
legal_form,ei,"Entreprise individuelle"
legal_form,cooperative,Coopérative
legal_form,autre,Autre
identity_type,cni,CNI
identity_type,passport,Passeport
identity_type,permis,"Permis de conduire"
identity_type,resident,"Carte de résident"
shop_logistics_type,ovanie,"OVANIE Logistics"
shop_logistics_type,seller,"Logistique vendeur"
shop_delivery_zone,abidjan,Abidjan
shop_delivery_zone,grand_abidjan,"Grand Abidjan"
shop_delivery_zone,national,"Toute la Côte d’Ivoire"
shop_delivery_zone,afrique_ouest,"Afrique de l’Ouest"
vendor_payment_mode,post_delivery,"Paiement après livraison (72h)"
vendor_payment_mode,weekly,"Paiement hebdomadaire"
mobile_money_operator,orange,"Orange Money"
mobile_money_operator,mtn,"MTN MoMo"
mobile_money_operator,wave,Wave
mobile_money_operator,moov,"Moov Money"
client_gender,homme,Homme
client_gender,femme,Femme
client_gender,non_precise,"Ne pas préciser"
client_account_type,particulier,"Particulier — Achats personnels"
client_account_type,professionnel,"Professionnel — Entreprise BTP"
client_account_type,artisan,"Artisan — Indépendant"
address_type,home,Domicile
address_type,office,Bureau
address_type,site,Chantier
address_type,warehouse,Dépôt
address_type,other,Autre
driver_onboarding_status,invited,Invité
driver_onboarding_status,pending_review,"Dossier à vérifier"
driver_onboarding_status,active,Validé
driver_onboarding_status,suspended,Suspendu
driver_onboarding_status,rejected,Refusé
driver_availability_status,available,Disponible
